duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
6595947.118,101379990.0,6616316.0,269720,45.0,0,67.0
6289823.464,98156914.0,6767744.0,268612,45.0,0,69.0
6260222.105,98773490.0,6758527.0,273164,45.0,0,70.0
6260604.282,97461176.0,6763899.0,272488,45.0,0,68.0
6293129.599,98873283.0,6696089.0,272412,45.0,0,70.0
6511902.288,99896594.0,6766401.0,270452,45.0,0,68.0
6415627.603,98521049.0,6749861.0,271824,45.0,0,68.0
6528265.286,100034717.0,6734541.0,270432,45.0,0,68.0
6251234.899,97743830.0,6773115.0,271588,45.0,0,68.0
6268673.103,97779230.0,6776593.0,270460,45.0,0,69.0
