duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
11931206.843,151310281.0,3442923.0,3068,45.0,0,66.0
11934498.386,151113748.0,3442557.0,3064,45.0,0,65.0
11947202.097,150957255.0,3445792.0,3148,45.0,0,64.0
11931859.284,150724163.0,3442862.0,3068,45.0,0,66.0
11929239.128,151244242.0,3438773.0,3068,45.0,0,66.0
11939173.96,151222391.0,3444266.0,3060,45.0,0,65.0
11937312.884,151435830.0,3440543.0,3044,45.0,0,65.0
11945162.318,151165385.0,3447318.0,3144,45.0,0,66.0
11935039.222,151146158.0,3440177.0,3064,45.0,0,65.0
11930802.351,151378335.0,3439139.0,3148,45.0,0,66.0
