duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
770605.241,9334692.0,640989.0,533368,45.0,0,45.0
722814.999,9812596.0,627439.0,533356,45.0,0,56.0
762886.263,9225807.0,642271.0,533280,45.0,0,45.0
722512.039,9814367.0,625975.0,533328,45.0,0,58.0
760580.799,9279273.0,655394.0,533212,45.0,0,45.0
733119.757,9701452.0,627500.0,533352,45.0,0,58.0
771410.626,9162024.0,655333.0,533252,45.0,0,45.0
731771.284,9775060.0,627196.0,533348,45.0,0,58.0
767407.961,9172157.0,661375.0,533260,45.0,0,45.0
724392.01,9753454.0,639342.0,533332,45.0,0,56.0
