duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
910298.132,11659638.0,698057.0,534404,45.0,0,45.0
892750.331,12396026.0,691161.0,535316,45.0,0,59.0
911228.379,11775666.0,697508.0,534772,45.0,0,45.0
921953.824,12042144.0,696959.0,534900,45.0,0,58.0
907999.23,11680512.0,696409.0,535112,45.0,0,45.0
866728.517,12217437.0,682005.0,535064,45.0,0,59.0
911205.723,11461091.0,696898.0,534872,45.0,0,45.0
918687.186,12042328.0,697508.0,535044,45.0,0,57.0
921893.386,11429109.0,700072.0,535088,45.0,0,45.0
872695.162,12090484.0,682676.0,534832,45.0,0,59.0
