duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
4388144.912,57833837.0,1274167.0,39136,45.0,0,65.0
4377913.658,58256137.0,1274167.0,39168,45.0,0,65.0
4390785.795,58276462.0,1274411.0,39152,45.0,0,66.0
4357663.517,59248262.0,1265134.0,39104,45.0,0,66.0
4381117.556,59540253.0,1272214.0,39092,45.0,0,65.0
4381994.918,58050510.0,1275510.0,39068,45.0,0,64.0
4384033.649,59885161.0,1272946.0,39100,45.0,0,66.0
4389366.216,58373996.0,1273983.0,39048,45.0,0,66.0
4386111.661,59406891.0,1276486.0,39072,45.0,0,66.0
4385474.152,59023103.0,1273556.0,39196,45.0,0,66.0
