duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
633075.405,8771584.0,182677.0,3036,45.0,0,45.0
657413.485,9790319.0,189025.0,3028,45.0,0,64.0
627113.022,8685097.0,180419.0,3032,45.0,0,45.0
609194.492,9145972.0,174744.0,3028,45.0,0,66.0
631304.261,8739967.0,181457.0,3036,45.0,0,45.0
659315.113,9637976.0,189148.0,3028,45.0,0,64.0
626963.738,8645974.0,180298.0,3036,45.0,0,45.0
603620.697,8907326.0,173156.0,3032,45.0,0,67.0
633753.398,8710854.0,182373.0,3028,45.0,0,45.0
650021.929,9373267.0,186950.0,3032,45.0,0,66.0
